volume_number,number,speechiness,key,time_signature,liveness,loudness,duration_ms,danceability,duration,valence,acousticness,energy,tempo,instrumentalness,mode,artist,title
1,1,0.102,7,4,0.104,-8.942,301200,0.873,301,0.49,0.0788,0.591,123.091,0.0071,1,Janet Jackson,Together Again
1,2,0.0281,0,4,0.126,-5.534,214333,0.775,212,0.766,0.164,0.816,98.219,0,1,Backstreet Boys,As Long as You Love Me
1,3,0.0341,6,4,0.307,-5.66,257093,0.653,256,0.913,0.154,0.874,120.84,1.36E-05,0,Fastball,The Way
1,4,0.0432,7,4,0.284,-4.119,217267,0.351,215,0.508,0.00184,0.899,145.015,0.000116,1,Harvey Danger,Flagpole Sitta
1,5,0.0473,1,4,0.0837,-6.219,235973,0.726,236,0.76,0.0149,0.679,107.02,1.49E-06,1,Spice Girls,Say You'll Be There
1,6,0.0309,1,4,0.0565,-8.834,331240,0.634,331,0.187,0.117,0.528,128,2.26E-06,1,K-Ci & JoJo,All My Life
1,7,0.115,1,4,0.239,-4.895,239693,0.703,294,0.554,0.276,0.629,90.05,2.31E-05,1,All Saints,Never Ever (Single Edit)
1,8,0.0507,10,4,0.154,-4.056,263280,0.417,261,0.501,0.00131,0.946,95.245,0,0,Tonic,If You Could Only See
1,9,0.0681,9,4,0.0621,-6.664,238733,0.676,267,0.652,0.00639,0.938,104.833,0.00383,1,Hanson,MMMBop
1,10,0.0837,8,4,0.157,-8.679,233039,0.568,233,0.906,0.175,0.706,184.126,0,0,Cherry Poppin' Daddies,Zoot Suit Riot
1,11,0.241,11,4,0.203,-4.885,294960,0.848,294,0.891,0.0181,0.698,101.074,4.07E-06,0,Imajin,Shorty (You Keep Playin' with My Mind)
1,12,0.0317,6,4,0.0454,-8.607,273438,0.758,271,0.519,0.023,0.433,129.832,0.00133,1,Brian McKnight,Anytime
1,13,0.0402,1,4,0.416,-4.355,195040,0.764,196,0.91,0.00929,0.948,129.967,0.0773,0,Aqua,Barbie Girl
1,14,0.026,7,4,0.172,-9.129,264067,0.36,261,0.311,0.0626,0.505,74.807,9.22E-05,1,Radiohead,Karma Police
1,15,0.0572,0,4,0.305,-3.189,236880,0.458,238,0.628,0.0279,0.9,169.639,0.00129,1,Everclear,I Will Buy You a New Life
1,16,0.0483,7,4,0.622,-5.066,221373,0.586,221,0.735,0.018,0.872,159.925,0,1,Lenny Kravitz,Fly Away
1,17,0.0251,2,4,0.106,-9.159,173493,0.67,172,0.623,0.238,0.558,80.511,0,1,Marcy Playground,Sex & Candy
2,1,0.0307,0,4,0.443,-5.745,211067,0.759,212,0.901,0.202,0.699,92.96,0.000131,0,Britney Spears,...Baby One More Time
2,2,0.0307,2,4,0.0875,-5.357,300773,0.618,301,0.727,0.171,0.896,113.961,0,1,New Radicals,You Get What You Give
2,3,0.0471,6,4,0.196,-5.302,247573,0.545,246,0.784,0.0556,0.902,91.251,0,1,Robbie Williams,Millennium
2,4,0.0295,7,4,0.155,-5.483,273533,0.486,274,0.27,0.0237,0.867,92.757,1.66E-06,1,Semisonic,Closing Time
2,5,0.0362,0,4,0.2,-7.097,183160,0.536,182,0.544,0.0846,0.607,142.241,6.04E-05,1,U2,Sweetest Thing (The Single Mix)
2,6,0.0328,4,4,0.305,-5.471,247000,0.599,247,0.573,0.00843,0.824,104.679,0.000221,0,Sheryl Crow,My Favorite Mistake
2,7,0.0536,1,4,0.203,-5.482,204267,0.572,204,0.708,0.055,0.932,112.509,0.762,1,Fatboy Slim,Praise You (Radio Edit)
2,8,0.0395,0,4,0.485,-4.492,217333,0.545,218,0.529,0.00176,0.83,113.682,0.0654,1,Garbage,I Think I'm Paranoid
2,9,0.043,9,4,0.0917,-8.171,164267,0.761,164,0.602,0.0426,0.735,125.815,0.0838,0,Cake,Never There
2,10,0.0269,0,4,0.113,-6.147,296347,0.732,297,0.506,0.296,0.658,104.503,0,1,98 Degrees,Because of You
2,11,0.026,4,4,0.117,-4.489,275427,0.552,283,0.363,0.0846,0.694,136.019,0,1,Spice Girls,Goodbye (Single Version)
2,12,0.0939,4,4,0.608,-4.92,243000,0.578,244,0.628,0.215,0.872,95.49,0.000264,0,Blackstreet & MÌ_a featuring Mase & Blinky Blink,Take Me There
2,13,0.101,2,4,0.0952,-6.526,278760,0.682,278,0.714,0.467,0.579,76.915,2.21E-06,0,R. Kelly,When a Woman's Fed Up (Clean Version)
2,14,0.0411,1,4,0.0779,-5.401,231400,0.568,232,0.721,0.000431,0.94,97.096,4.96E-05,1,Everclear,Father of Mine
2,15,0.131,7,4,0.334,-7.497,171093,0.766,168,0.603,0.0136,0.701,95.624,0.000384,1,Sublime,What I Got (Clean Version)
2,16,0.029,7,3,0.153,-6.005,287507,0.519,287,0.34,0.0885,0.589,161.992,0,0,Backstreet Boys,I'll Never Break Your Heart
2,17,0.294,10,4,0.0285,-6.017,238467,0.883,216,0.566,0.0814,0.659,77.03,0.00119,0,Jay-Z,Hard Knock Life (Ghetto Anthem) (Edit)
2,18,0.363,6,4,0.391,-13.365,309133,0.827,305,0.8,0.639,0.526,91.552,8.2E-06,0,Baz Luhrmann,Everybody's Free (To Wear Sunscreen) (Edit)
3,1,0.0323,11,4,0.0829,-5.881,200373,0.731,199,0.775,0.0319,0.861,104.034,0,1,Smash Mouth,All Star
3,2,0.0714,1,4,0.0782,-7.971,261707,0.669,231,0.593,0.024,0.7,83.989,0,1,Lenny Kravitz,American Woman
3,3,0.0732,6,4,0.0893,-7.376,148573,0.403,149,0.563,0.017,0.956,157.706,7.09E-05,1,Blink-182,What's My Age Again?
3,4,0.0409,7,4,0.151,-4.514,214067,0.64,213,0.548,0.0606,0.873,99.898,0.00159,1,Enrique Iglesias,Bailamos
3,5,0.0259,10,4,0.102,-5.693,245067,0.745,237,0.801,0.42,0.742,95.996,0,1,Britney Spears,Sometimes
3,6,0.029,1,4,0.0675,-7.114,276573,0.731,275,0.396,0.0644,0.574,95.995,0,1,Backstreet Boys,All I Have to Give
3,7,0.0338,3,4,0.124,-6.763,278600,0.687,224,0.577,0.214,0.532,134.283,0,1,K-Ci & JoJo,Tell Me It's Real
3,8,0.256,7,4,0.339,-6.725,413880,0.665,209,0.0687,0.0117,0.991,152.596,0.00392,1,Fatboy Slim,The Rockafeller Skank
3,9,0.0907,11,4,0.712,-5.967,289560,0.548,268,0.307,0.00237,0.926,97.55,0.163,1,Limp Bizkit,Nookie
3,10,0.0459,0,4,0.196,-4.355,226493,0.436,225,0.465,1.88E-05,0.944,131.656,0.358,0,Garbage,Special
3,11,0.0255,8,3,0.0605,-8.273,378573,0.505,298,0.126,0.677,0.411,80.948,1.23E-05,1,R. Kelly,If I Could Turn Back the Hands of Time
3,12,0.0725,10,4,0.299,-8.581,275173,0.702,271,0.47,0.435,0.52,120.005,0,1,Ideal,Get Gone
3,13,0.0668,1,4,0.05,-7.053,264400,0.746,266,0.462,0.218,0.629,111.566,0,0,ChantÌ© Moore,ChantÌ©'s Got a Man
3,14,0.0346,1,4,0.105,-3.663,208493,0.637,206,0.596,0.0437,0.846,103.119,0,1,Blessid Union of Souls,Hey Leonardo (She Likes Me for Me)
3,15,0.0233,8,4,0.111,-7.056,238093,0.638,240,0.474,0.00913,0.666,100.01,0.000843,0,Oleander,Why I'm Here
3,16,0.0345,4,4,0.0861,-7.124,276000,0.746,278,0.517,0.191,0.615,120.049,0,0,Case,Happily Ever After
3,17,0.0295,10,4,0.0696,-7.022,274093,0.721,275,0.536,0.173,0.507,87.986,0,1,98 Degrees,The Hardest Thing
3,18,0.0324,4,4,0.169,-7.461,153067,0.599,152,0.488,0.366,0.666,156.206,0.00158,1,Fastball,Out of My Head
4,1,0.037,0,4,0.617,-2.994,232827,0.661,232,0.772,0.11,0.973,108.037,1.74E-05,0,Backstreet Boys,Larger than Life
4,2,0.0341,0,4,0.32,-4.288,198067,0.748,198,0.962,0.0534,0.939,104.001,0,0,Britney Spears,(You Drive Me) Crazy
4,3,0.0336,3,4,0.112,-2.563,227707,0.813,227,0.795,0.486,0.949,115.061,9.75E-06,0,Marc Anthony,I Need to Know
4,4,0.0905,7,4,0.165,-4.185,234373,0.818,234,0.656,0.164,0.849,100.503,4.36E-05,1,Mandy Moore,Candy
4,5,0.0582,7,4,0.39,-11.471,283748,0.822,206,0.771,0.259,0.969,128.007,0.000162,0,Eiffel 65,Blue (Da Ba Dee)
4,6,0.0422,6,4,0.161,-12.204,284741,0.632,238,0.238,0.0604,0.579,135.009,0.885,1,Sonique,It Feels So Good
4,7,0.0542,5,4,0.073,-7.715,257733,0.69,255,0.654,0.000447,0.664,87.287,0.0343,0,Lenny Kravitz,I Belong to You
4,8,0.0287,9,4,0.077,-8.769,251253,0.556,250,0.779,0.307,0.517,169.938,0.00115,1,Savage Garden,I Knew I Loved You
4,9,0.0376,6,4,0.416,-5.919,296800,0.724,279,0.581,0.256,0.485,136.057,1.35E-05,1,Joe,I Wanna Know
